Station Name,Iso Code,Station ID,Date,Time,Datetime,Hour,Minute,Air Temperature,Soil Temp (1),Rain,Fog,Wind Speed,Wind Direction,Wind Speed (Max),Humidity
Gobabeb Met,NA,8893,7/23/22,1:00,7/23/22 1:00,1,0,19.08,21.49,0,0,0.012,109.3,0.608,29.14
Gobabeb Met,NA,8893,7/23/22,2:00,7/23/22 2:00,2,0,17.67,20.98,0,0,0.027,94.7,1,31.2
Gobabeb Met,NA,8893,7/23/22,3:00,7/23/22 3:00,3,0,17.06,20.35,0,0,0.058,90.7,1.019,31.47
Gobabeb Met,NA,8893,7/23/22,4:00,7/23/22 4:00,4,0,17.55,19.86,0,0,0.027,90.3,1.215,30.09
Gobabeb Met,NA,8893,7/23/22,5:00,7/23/22 5:00,5,0,17.59,19.55,0,0,0.301,87.6,4.586,29.96
Gobabeb Met,NA,8893,7/23/22,6:00,7/23/22 6:00,6,0,18.45,19.35,0,0,0.006,118.3,0.137,29.35
Gobabeb Met,NA,8893,7/23/22,7:00,7/23/22 7:00,7,0,18.72,19.38,0,0,0.596,61.1,3.665,30.97
Gobabeb Met,NA,8893,7/23/22,8:00,7/23/22 8:00,8,0,20.37,19.84,0,0,0.007,119.2,0.274,29.4
Gobabeb Met,NA,8893,7/23/22,9:00,7/23/22 9:00,9,0,23.36,21.21,0,0,0.011,111.4,0.647,25.32
Gobabeb Met,NA,8893,7/23/22,10:00,7/23/22 10:00,10,0,26.93,23.76,0,0,0.002,37.72,1.274,20.29
Gobabeb Met,NA,8893,7/23/22,11:00,7/23/22 11:00,11,0,27.65,26.84,0,0,0.028,331.4,2.195,18.92
Gobabeb Met,NA,8893,7/23/22,12:00,7/23/22 12:00,12,0,29.07,29.47,0,0,0.01,359.6,1.372,17.32
Gobabeb Met,NA,8893,7/23/22,13:00,7/23/22 13:00,13,0,30.38,31.54,0,0,0.009,23.01,1.137,16.22
Gobabeb Met,NA,8893,7/23/22,14:00,7/23/22 14:00,14,0,30.8,32.91,0,0,0.895,204.9,7.82,15.33
Gobabeb Met,NA,8893,7/23/22,15:00,7/23/22 15:00,15,0,29.89,33.15,0,0,3.544,198.7,9.23,15.84
Gobabeb Met,NA,8893,7/23/22,16:00,7/23/22 16:00,16,0,28.09,32.03,0,0,6.578,191.6,10.84,15.37
Gobabeb Met,NA,8893,7/23/22,17:00,7/23/22 17:00,17,0,26.14,30.27,0,0,6.137,185.1,10.82,15.85
Gobabeb Met,NA,8893,7/23/22,18:00,7/23/22 18:00,18,0,24.42,28.41,0,0,3.746,178.8,9.29,16.57
Gobabeb Met,NA,8893,7/23/22,19:00,7/23/22 19:00,19,0,23.68,26.84,0,0,0.677,164.5,5.939,16.24
Gobabeb Met,NA,8893,7/23/22,20:00,7/23/22 20:00,20,0,22.73,25.6,0,0,0.645,168.1,3.665,15.98
Gobabeb Met,NA,8893,7/23/22,21:00,7/23/22 21:00,21,0,21.61,24.57,0,0,0.107,121.8,1.921,16.52
Gobabeb Met,NA,8893,7/23/22,22:00,7/23/22 22:00,22,0,19.41,23.57,0,0,0.013,113.9,0.843,18.69
Gobabeb Met,NA,8893,7/23/22,23:00,7/23/22 23:00,23,0,17.33,22.51,0,0,0.512,20.2,2.176,20.05
Gobabeb Met,NA,8893,7/24/22,0:00,7/25/22 0:00,24,0,15.7,21.54,0,0,0.106,91.8,1.313,21.71
Gobabeb Met,NA,8893,7/24/22,1:00,7/24/22 1:00,1,0,14.47,20.66,0,0,0.044,91.1,1.294,24.32
Gobabeb Met,NA,8893,7/24/22,2:00,7/24/22 2:00,2,0,13.16,19.86,0,0,0.369,346.5,1.784,26.71
Gobabeb Met,NA,8893,7/24/22,3:00,7/24/22 3:00,3,0,12.62,19.1,0,0,0.429,28.43,2.215,28.26
Gobabeb Met,NA,8893,7/24/22,4:00,7/24/22 4:00,4,0,12.38,18.4,0,0,0.01,106.2,1.176,31.64
Gobabeb Met,NA,8893,7/24/22,5:00,7/24/22 5:00,5,0,12.29,17.79,0,0,0.061,103.7,1.254,31.95
Gobabeb Met,NA,8893,7/24/22,6:00,7/24/22 6:00,6,0,13.99,17.32,0,0,0.027,90.6,4.351,31.64
Gobabeb Met,NA,8893,7/24/22,7:00,7/24/22 7:00,7,0,16.55,17.21,0,0,0.14,91.2,5.096,33.43
Gobabeb Met,NA,8893,7/24/22,8:00,7/24/22 8:00,8,0,19.78,17.94,0,0,0.42,68.68,2.352,27.83
Gobabeb Met,NA,8893,7/24/22,9:00,7/24/22 9:00,9,0,24.87,19.83,0,0,5.968,48.92,10.17,20.79
Gobabeb Met,NA,8893,7/24/22,10:00,7/24/22 10:00,10,0,27.13,22.51,0,0,2.876,15.48,6.762,19.55
Gobabeb Met,NA,8893,7/24/22,11:00,7/24/22 11:00,11,0,26.27,25.53,0,0,0.55,325.2,4.449,22.45
Gobabeb Met,NA,8893,7/24/22,12:00,7/24/22 12:00,12,0,26.83,28.06,0,0,0.422,326.5,4.136,24.49
Gobabeb Met,NA,8893,7/24/22,13:00,7/24/22 13:00,13,0,27.6,30.08,0,0,0.814,327.7,4.096,25.88
Gobabeb Met,NA,8893,7/24/22,14:00,7/24/22 14:00,14,0,27.43,31.29,0,0,0.168,323.1,3.802,26.76
Gobabeb Met,NA,8893,7/24/22,15:00,7/24/22 15:00,15,0,27.16,31.54,0,0,0.023,311.6,0.902,28.12
Gobabeb Met,NA,8893,7/24/22,16:00,7/24/22 16:00,16,0,26.22,30.87,0,0,0.001,309.1,0.137,27.57
Gobabeb Met,NA,8893,7/24/22,17:00,7/24/22 17:00,17,0,23.58,29.34,0,0,0.112,321.8,3.469,31.55
Gobabeb Met,NA,8893,7/24/22,18:00,7/24/22 18:00,18,0,19.36,27.33,0,0,0.708,326.4,3.018,46.09
Gobabeb Met,NA,8893,7/24/22,19:00,7/24/22 19:00,19,0,17.17,25.42,0,0,0.373,323.4,1.842,53.85
Gobabeb Met,NA,8893,7/24/22,20:00,7/24/22 20:00,20,0,15.18,23.82,0,0,0.878,341,2.509,62.55
Gobabeb Met,NA,8893,7/24/22,21:00,7/24/22 21:00,21,0,14.11,22.47,0,0,0,0,0,64.66
Gobabeb Met,NA,8893,7/24/22,22:00,7/24/22 22:00,22,0,13.54,21.35,0,0,0,117.1,0.02,67.42
Gobabeb Met,NA,8893,7/24/22,23:00,7/24/22 23:00,23,0,13.61,20.42,0,0,0.001,111.1,0.098,64.4
Gobabeb Met,NA,8893,7/25/22,0:00,7/26/22 0:00,24,0,13.42,19.62,0,0,0,0,0,63.32
Gobabeb Met,NA,8893,7/25/22,1:00,7/25/22 1:00,1,0,12.53,18.88,0,0,0.009,31.82,1.039,61.32
Gobabeb Met,NA,8893,7/25/22,2:00,7/25/22 2:00,2,0,11.12,18.17,0,0,0,44.04,0.039,59.09
Gobabeb Met,NA,8893,7/25/22,3:00,7/25/22 3:00,3,0,10.02,17.45,0,0,0,0,0,67.39
Gobabeb Met,NA,8893,7/25/22,4:00,7/25/22 4:00,4,0,10.27,16.79,0,0,0.027,86.8,1.235,61.88
Gobabeb Met,NA,8893,7/25/22,5:00,7/25/22 5:00,5,0,11.06,16.25,0,0,0.102,76.68,1.96,56.66
Gobabeb Met,NA,8893,7/25/22,6:00,7/25/22 6:00,6,0,10.14,15.77,0,0,0.265,49.26,2.156,60.49
Gobabeb Met,NA,8893,7/25/22,7:00,7/25/22 7:00,7,0,11.75,15.36,0,0,0,0,0,56.11
Gobabeb Met,NA,8893,7/25/22,8:00,7/25/22 8:00,8,0,15.88,15.76,0,0,0,0,0,43.24
Gobabeb Met,NA,8893,7/25/22,9:00,7/25/22 9:00,9,0,20.71,17.69,0,0,0,0,0,30.91
Gobabeb Met,NA,8893,7/25/22,10:00,7/25/22 10:00,10,0,23.87,20.74,0,0,0.095,328.1,1.901,24.89
Gobabeb Met,NA,8893,7/25/22,11:00,7/25/22 11:00,11,0,24.05,24.02,0,0,0.296,325.4,3.136,28.67
Gobabeb Met,NA,8893,7/25/22,12:00,7/25/22 12:00,12,0,24.34,26.63,0,0,0.013,314.2,1.588,27.49
Gobabeb Met,NA,8893,7/25/22,13:00,7/25/22 13:00,13,0,24.22,28.4,0,0,0.026,284.6,4.194,25.69
Gobabeb Met,NA,8893,7/25/22,14:00,7/25/22 14:00,14,0,23.81,29.37,0,0,0.003,290.3,0.804,29.63
Gobabeb Met,NA,8893,7/25/22,15:00,7/25/22 15:00,15,0,23,29.48,0,0,0.096,321.5,2.352,31.53
Gobabeb Met,NA,8893,7/25/22,16:00,7/25/22 16:00,16,0,21.1,28.64,0,0,0.258,323.4,3.45,38.15
Gobabeb Met,NA,8893,7/25/22,17:00,7/25/22 17:00,17,0,18.06,26.9,0,0,0.763,326.2,4.234,51.1
Gobabeb Met,NA,8893,7/25/22,18:00,7/25/22 18:00,18,0,15.35,24.74,0,0,0.899,324.7,3.371,63.03
Gobabeb Met,NA,8893,7/25/22,19:00,7/25/22 19:00,19,0,13.67,22.83,0,0,0.925,326.3,2.607,70.93
Gobabeb Met,NA,8893,7/25/22,20:00,7/25/22 20:00,20,0,11.41,21.26,0,0,1.201,328.4,3.058,82.4
Gobabeb Met,NA,8893,7/25/22,21:00,7/25/22 21:00,21,0,9.39,19.84,0,0,1.471,333.6,3.9,93.3
Gobabeb Met,NA,8893,7/25/22,22:00,7/25/22 22:00,22,0,8.96,18.98,0,0,0.792,354.5,2.685,96.1
Gobabeb Met,NA,8893,7/25/22,23:00,7/25/22 23:00,23,0,8.71,18.52,0,0.1,0.836,9.39,3.018,97.3
Gobabeb Met,NA,8893,7/26/22,0:00,7/26/22 0:00,24,0,8.49,17.97,0,0.2,0.908,14.13,3.058,97.9
Gobabeb Met,NA,8893,7/26/22,1:00,7/26/22 1:00,1,0,8.02,17.41,0,0.5,0.821,336.8,2.705,98.3
Gobabeb Met,NA,8893,7/26/22,2:00,7/26/22 2:00,2,0,7.999,16.9,0,0.7,0.644,340.6,3.528,98.6
Gobabeb Met,NA,8893,7/26/22,3:00,7/26/22 3:00,3,0,8.41,16.45,0,0.8,0.814,333.1,2.607,98.8
Gobabeb Met,NA,8893,7/26/22,4:00,7/26/22 4:00,4,0,8.34,16.03,0,0.3,0.816,330.7,4.096,98.9
Gobabeb Met,NA,8893,7/26/22,5:00,7/26/22 5:00,5,0,8.35,15.67,0,0.2,0.005,314.6,1.156,99
Gobabeb Met,NA,8893,7/26/22,6:00,7/26/22 6:00,6,0,8.47,15.38,0,0.1,0.043,318.9,2.038,98.9
Gobabeb Met,NA,8893,7/26/22,7:00,7/26/22 7:00,7,0,8.51,15.17,0,0,1.364,340,3.783,98.4